player_id,名前,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,野手WAR,wOBA,wRC+,OPS,ISOp,ランク
41745155,黒原　拓未,2023,広島東洋,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.08,.000,0,.000,.000,B
41745155,黒原　拓未,2024,広島東洋,53,2,1,1,1,0,1,0,3,1,0,0,1,0,0,0,0,0,1,3,0.5,0.08,.765,247,3.500,2.000,B
41845155,前川　誠太,2025,広島東洋,28,56,54,1,10,3,0,0,13,9,0,1,0,0,2,0,10,3,0.185,0.241,0.214,-0.52,.198,64,.455,.056,B
43745150,Ｓ．ファビアン,2025,広島東洋,138,572,539,60,149,30,0,17,230,65,2,3,0,2,22,9,84,8,0.276,0.427,0.315,0.2,.314,101,.741,.150,B
51055155,末包　昇大,2022,広島東洋,31,80,77,9,23,3,1,2,34,14,0,0,0,2,1,0,20,2,0.299,0.442,0.3,-0.02,.306,99,.742,.143,B
51055155,末包　昇大,2023,広島東洋,65,146,139,16,38,6,0,11,77,27,0,0,0,0,6,1,40,5,0.273,0.554,0.308,0.54,.354,114,.862,.281,B
51055155,末包　昇大,2024,広島東洋,79,304,286,22,68,14,0,9,109,37,1,2,0,0,12,6,85,6,0.238,0.381,0.283,-0.67,.283,91,.664,.143,B
51055155,末包　昇大,2025,広島東洋,123,477,437,40,106,18,3,11,163,62,2,3,0,5,33,2,97,6,0.243,0.373,0.296,-0.96,.286,92,.669,.130,B
51355157,内田　湘大,2024,広島東洋,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,-0.01,.290,94,.667,.000,B
51355157,内田　湘大,2025,広島東洋,6,10,9,0,2,1,0,0,3,0,0,0,0,0,1,0,4,0,0.222,0.333,0.3,-0.03,.277,89,.633,.111,B
53155151,森下　暢仁,2020,広島東洋,18,46,39,0,6,2,0,0,8,3,0,0,6,0,0,1,16,0,0.154,0.205,0.152,-0.64,.144,46,.357,.051,B
53155151,森下　暢仁,2021,広島東洋,24,57,46,1,3,0,0,0,3,1,0,0,10,0,1,0,19,1,0.065,0.065,0.07,-1.2,.058,19,.135,.000,B
53155151,森下　暢仁,2022,広島東洋,27,65,58,4,11,2,1,0,15,7,0,0,6,0,1,0,14,0,0.19,0.259,0.185,-0.71,.178,58,.443,.069,B
53155151,森下　暢仁,2023,広島東洋,20,41,35,3,6,2,0,1,11,4,0,0,5,0,1,0,12,0,0.171,0.314,0.171,-0.42,.187,60,.485,.143,B
53155151,森下　暢仁,2024,広島東洋,23,52,47,5,11,1,0,0,12,3,0,0,3,0,1,1,12,0,0.234,0.255,0.25,-0.4,.218,70,.505,.021,B
53155151,森下　暢仁,2025,広島東洋,22,50,43,1,4,0,0,0,4,0,0,0,5,0,2,0,19,0,0.093,0.093,0.12,-0.89,.097,31,.213,.000,B
53955150,Ｅ．モンテロ,2025,広島東洋,105,396,368,23,94,21,1,9,144,41,0,0,0,3,23,2,89,11,0.255,0.391,0.301,-0.52,.294,95,.692,.136,B
61065151,鈴木　健矢,2023,北海道日本ハム,24,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.08,.000,0,.000,.000,B
61065151,鈴木　健矢,2024,北海道日本ハム,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.03,.000,0,.000,.000,B
61265155,田村　俊介,2023,広島東洋,10,22,22,3,8,2,0,0,10,0,0,0,0,0,0,0,6,1,0.364,0.455,0.364,0.07,.347,112,.818,.091,B
61265155,田村　俊介,2024,広島東洋,37,106,101,4,20,3,2,0,27,5,1,1,1,0,3,1,27,2,0.198,0.267,0.226,-0.86,.213,69,.494,.069,B
61265155,田村　俊介,2025,広島東洋,25,69,63,5,16,0,1,1,21,4,0,1,0,0,6,0,14,1,0.254,0.333,0.319,-0.13,.287,93,.652,.079,B
61265157,中村　貴浩,2023,広島東洋,15,37,34,3,6,1,0,0,7,3,1,0,0,1,1,1,10,2,0.176,0.206,0.216,-0.38,.188,61,.422,.029,B
61265157,中村　貴浩,2024,広島東洋,11,25,24,4,5,0,0,0,5,3,0,0,1,0,0,0,5,1,0.208,0.208,0.2,-0.28,.174,56,.408,.000,B
61365139,大瀬良　大地,2014,広島東洋,26,57,53,4,5,1,1,0,8,3,0,0,2,0,2,0,35,1,0.094,0.151,0.123,-0.91,.118,38,.274,.057,B
61365139,大瀬良　大地,2015,広島東洋,51,23,22,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0.043,-0.54,.030,10,.043,.000,B
61365139,大瀬良　大��,2017,広島東洋,24,51,44,1,6,1,0,0,7,0,0,0,4,0,2,1,21,0,0.136,0.159,0.176,-0.68,.150,48,.336,.023,B
61365139,大瀬良　大地,2018,広島東洋,27,69,57,4,10,2,0,0,12,9,0,0,9,0,3,0,22,3,0.175,0.211,0.188,-0.83,.166,54,.399,.035,B
61365139,大瀬良　大地,2019,広島東洋,26,60,47,3,6,1,0,0,7,0,0,0,7,0,6,0,31,0,0.128,0.149,0.2,-0.74,.162,52,.349,.021,B
61365139,大瀬良　大地,2020,広島東洋,11,24,19,4,5,0,0,1,8,4,0,0,4,0,1,0,6,0,0.263,0.421,0.25,-0.11,.255,82,.671,.158,B
61365139,大瀬良　大地,2021,広島東洋,23,51,40,3,4,0,0,0,4,1,0,0,7,0,4,0,18,0,0.1,0.1,0.157,-0.8,.122,39,.257,.000,B
61365139,大瀬良　大地,2022,広島東洋,23,48,39,1,6,0,0,0,6,2,0,0,7,0,2,0,18,0,0.154,0.154,0.167,-0.69,.137,44,.321,.000,B
61365139,大瀬良　大地,2023,広島東洋,23,33,30,0,0,0,0,0,0,0,1,0,2,0,1,0,15,0,0,0,0.03,-0.79,.021,7,.030,.000,B
61365139,大瀬良　大地,2024,広島東洋,25,45,42,0,2,0,0,0,2,0,0,0,3,0,0,0,21,2,0.048,0.048,0.044,-1.02,.039,12,.092,.000,B
61365139,大瀬良　大地,2025,広島東洋,23,41,34,2,4,0,0,0,4,0,0,0,6,0,1,0,14,0,0.118,0.118,0.122,-0.71,.102,33,.240,.000,B
61565135,菊池　涼介,2012,広島東洋,63,234,201,21,46,5,1,2,59,12,4,2,25,1,6,1,42,5,0.229,0.294,0.226,-1.93,.211,68,.520,.065,B
61565135,菊池　涼介,2013,広島東洋,141,633,538,69,133,27,4,11,201,57,16,7,50,5,38,2,121,4,0.247,0.374,0.273,-2.44,.264,85,.647,.126,B
61565135,菊池　涼介,2014,広島東洋,144,654,579,88,188,39,2,11,264,58,23,10,43,5,24,3,79,9,0.325,0.456,0.329,0.49,.319,103,.785,.131,B
61565135,菊池　涼介,2015,広島東洋,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,92,7,0.254,0.343,0.27,-3.04,.253,82,.614,.089,B
61565135,菊池　涼介,2016,広島東洋,141,640,574,92,181,22,3,13,248,56,13,5,23,3,40,0,106,3,0.315,0.432,0.345,0.84,.326,105,.777,.117,B
61565135,菊池　涼介,2017,広島東洋,138,629,565,87,153,28,3,14,229,56,8,7,30,1,32,1,107,9,0.271,0.405,0.296,-1.05,.290,94,.701,.135,B
61565135,菊池　涼介,2018,広島東洋,139,642,557,85,130,27,1,13,198,60,10,2,30,1,51,3,111,5,0.233,0.355,0.287,-2.07,.271,88,.642,.122,B
61565135,菊池　涼介,2019,広島東洋,138,619,547,77,143,36,2,13,222,48,14,5,28,2,41,1,102,5,0.261,0.406,0.299,-0.92,.292,94,.705,.144,B
61565135,菊池　涼介,2020,広島東洋,106,429,376,43,102,19,4,10,159,41,3,2,16,1,35,1,68,9,0.271,0.423,0.322,0.03,.311,100,.745,.152,B
61565135,菊池　涼介,2021,広島東洋,132,542,494,64,137,23,2,16,212,60,1,5,2,3,42,1,86,8,0.277,0.429,0.332,0.59,.323,104,.761,.152,B
61565135,菊池　涼介,2022,広島東洋,123,522,462,51,121,25,1,6,166,45,2,3,32,2,24,2,70,7,0.262,0.359,0.282,-1.91,.266,86,.641,.097,B
61565135,菊池　涼介,2023,広島東洋,120,485,442,51,114,17,0,5,146,27,7,5,8,1,32,2,68,6,0.258,0.33,0.305,-1.38,.276,89,.635,.072,B
61565135,菊池　涼介,2024,広島東洋,136,497,453,27,109,19,0,9,155,38,2,2,17,1,25,1,69,9,0.241,0.342,0.272,-2.1,.259,84,.614,.102,B
61565135,菊池　涼介,2025,広島東洋,113,389,355,30,89,19,0,4,120,28,5,3,17,2,14,1,70,5,0.251,0.338,0.267,-1.84,.253,82,.605,.087,B
61765157,斉藤　優汰,2025,広島東洋,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.03,.000,0,.000,.000,B
61965131,堂林　翔太,2012,広島東洋,144,554,488,60,118,25,4,14,193,45,5,2,5,3,44,14,150,8,0.242,0.395,0.318,-0.21,.305,99,.713,.154,B
61965131,堂林　翔太,2013,広島東洋,105,410,364,36,79,14,0,6,111,41,10,2,5,1,33,7,96,10,0.217,0.305,0.29,-1.61,.263,85,.595,.088,B
61965131,堂林　翔太,2014,広島東洋,93,330,284,37,70,12,1,8,108,28,1,1,5,3,32,6,87,3,0.246,0.38,0.327,-0.14,.305,98,.708,.134,B
61965131,堂林　翔太,2015,広島東洋,33,73,69,5,18,2,0,0,20,3,1,0,1,0,3,0,16,1,0.261,0.29,0.288,-0.35,.252,81,.578,.029,B
61965131,堂林　翔太,2016,広島東洋,47,60,56,6,14,0,0,2,20,2,3,1,1,0,3,0,11,0,0.25,0.357,0.283,-0.18,.273,88,.640,.107,B
61965131,堂林　翔太,2017,広島東洋,44,54,46,4,10,1,0,1,14,11,0,0,0,3,5,0,13,0,0.217,0.304,0.278,-0.27,.251,81,.582,.087,B
61965131,堂林　翔太,2018,広島東洋,63,60,51,11,11,3,1,0,16,5,0,1,7,0,2,0,14,1,0.216,0.314,0.217,-0.5,.210,68,.530,.098,B
61965131,堂林　翔太,2019,広島東洋,28,38,34,1,7,0,1,0,9,2,0,0,2,0,2,0,9,0,0.206,0.265,0.237,-0.3,.214,69,.502,.059,B
61965131,堂林　翔太,2020,広島東洋,111,451,401,55,112,21,0,14,175,58,17,4,3,2,41,4,91,12,0.279,0.436,0.348,0.91,.334,108,.785,.157,B
61965131,堂林　翔太,2021,広島東洋,70,143,137,12,26,6,0,0,32,5,2,1,2,0,3,1,34,4,0.19,0.234,0.21,-1.41,.192,62,.443,.044,B
61965131,堂林　翔太,2022,広島東洋,101,274,255,25,62,16,0,8,102,28,1,2,5,1,11,2,82,6,0.243,0.4,0.274,-0.66,.281,91,.674,.157,B
61965131,堂林　翔太,2023,広島東洋,100,284,260,29,71,13,0,12,120,35,1,6,5,0,19,0,72,7,0.273,0.462,0.317,0.34,.324,105,.778,.188,B
61965131,堂林　翔太,2024,広島東洋,87,273,244,15,56,13,0,1,72,17,0,2,9,3,16,1,67,4,0.23,0.295,0.267,-1.56,.242,78,.562,.066,B
61965131,堂林　翔太,2025,広島東洋,44,77,70,5,13,6,0,1,22,4,0,0,1,0,6,0,23,3,0.186,0.314,0.247,-0.44,.241,78,.561,.129,B
71075150,佐藤　柳之介,2025,広島東洋,6,5,4,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0.25,0.25,0.2,-0.06,.174,56,.450,.000,B
71075157,辰見　鴻之介,2024,東北楽天,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.08,.000,0,.000,.000,B
71375136,遠藤　淳志,2019,広島東洋,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.05,.000,0,.000,.000,B
71375136,遠藤　淳志,2020,広島東洋,19,36,32,1,6,0,0,0,6,2,0,0,3,0,1,0,12,1,0.188,0.188,0.194,-0.44,.164,53,.382,.000,B
71375136,遠藤　淳志,2021,広島東洋,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,.000,0,.000,.000,B
71375136,遠藤　淳志,2022,広島東洋,20,32,30,0,2,0,0,0,2,4,0,0,2,0,0,0,13,2,0.067,0.067,0.062,-0.68,.054,18,.129,.000,B
71375136,遠藤　淳志,2023,広島東洋,8,13,12,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,-0.34,.000,0,.000,.000,B
71375136,遠藤　淳志,2025,広島東洋,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.08,.000,0,.000,.000,B
