選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"高橋　昂也","広島東洋カープ","埼玉","A","10","1,400万円（推定）","打者の手元で変化するカットボールが武器の左腕。昨季は自己最多の24試合に登板。ショートスターターやロングリリーフなど、さまざまな起用に応えた。10年目の今季も与えられた役割をこなし、投手陣を支えたい。"
"高橋　礼","埼玉西武ライオンズ","千葉","O","9","","アンダーハンドから力強いボールを投げ込む右腕。巨人に所属した昨季は、二軍で防御率5点台と低迷。プロ入り後初めて一軍登板なしでシーズンを終えた。新天地で育成契約を結んで迎える今季は、本来の投球を取り戻したい。"
"澤田　遥斗","埼玉西武ライオンズ","北海道","A","2","280万円（推定）","優れた脚力が武器のスイッチヒッター。高卒1年目の昨季は三軍を主戦場とし、貴重な実戦経験を蓄積。体づくりに励みつつ、技術を磨いた。今季は公式戦デビューを果たし、活躍の場を二軍へ移したい。"
"佐々木　健","埼玉西武ライオンズ","青森","B","6","1,400万円（推定）","内角を強気に突く投球が特徴のサウスポー。昨季は6月に支配下復帰を果たすも、一軍では15登板で防御率5.02と結果を残せず。オフに再び育成契約となった。先発転向を決意して臨む今季は信頼を勝ち取り、2ケタの背番号を取り戻す。"
"鈴木　叶","東京ヤクルトスワローズ","静岡","O","3","600万円（推定）","打撃センスが光る捕手。昨季はコンディション不良の影響もあり、二軍での出場は33試合止まり。オフには秋季教育リーグやジャパンウインターリーグで実戦経験を積んだ。今季は春先から万全の状態で臨み、一軍での出番を増やしたい。"
"飯田　琉斗","東京ヤクルトスワローズ","神奈川","不明","1","","力強い真っすぐとスプリットが武器の右腕。2024年の日本選手権で最速155キロを記録。25年の都市対抗予選では3試合に登板し、打者10人をパーフェクトに抑えた。1年目からフル回転の働きを見せ、ブルペンに厚みをもたらす。"
"石黒　佑弥","阪神タイガース","愛知","O","3","900万円（推定）","キレのある直球を丁寧に投げ込む右腕。2年目の昨季は開幕一軍入りを果たすも、わずか1週間ほどで登録抹消。その後は故障などもあり、一軍での登板は8試合にとどまった。今季は変化球の精度を磨き、チームの戦力となりたい。"
"谷端　将伍","阪神タイガース","石川","B","1","","走攻守3拍子そろった新人内野手。日本大では3年時に東都大学リーグの首位打者を2季連続で獲得。同期間は6本塁打を放ち、パンチ力も示した。プロでも持ち前の向上心で鍛錬を積み、実績のある選手が居並ぶ一軍の高い壁に挑む。"
"谷口　朝陽","埼玉西武ライオンズ","徳島","O","3","280万円（推定）","NPB入りを機に野手へ転向した異色の育成選手。2年目の昨季は三軍で鍛錬に励み、実戦では内外野の複数ポジションでプレー。秋季教育リーグではバットで存在感を示した。今季も全体的なスキルを磨き、公式戦デビューを目指す。"
"植田　海","阪神タイガース","滋賀","O","12","2,500万円（推定）","チーム屈指の脚力を誇るユーティリティー。昨季は主に代走や守備固めとして42試合に出場。試合終盤の重要な局面で持ち味を生かし、首脳陣の起用に応えた。FA権を行使せず残留を決めた今季も、自慢の快足でチームを支える。"
"大島　洋平","中日ドラゴンズ","愛知","A","17","6,000万円（推定）","類まれなバットコントロールを誇るベテラン外野手。昨季は代打打率.186と首脳陣の起用に応えられず。出場は自己最少の59試合に終わった。今季は本来の打撃を取り戻し、衰えを感じさせない活躍を見せたい。"
"野間　峻祥","広島東洋カープ","兵庫","B","12","7,000万円（推定）","粘り強い打撃を見せるベテラン外野手。昨季は代打を中心として79試合に出場するも、打率.247と満足のいく結果を残せなかった。12年目を迎える今季は与えられた役割を全うし、首脳陣の起用に応えたい。"
"林　晃汰","広島東洋カープ","和歌山","O","8","1,200万円（推定）","豪快なスイングで長打を放つスラッガー。昨季は7月に2試合連続アーチを記録するも、シーズン全体では打率.188と低迷。前年を下回る22試合の出場に終わった。今季は変化球への対応力を向上させ、一軍の舞台で結果を残したい。"
"田中　陽翔","東京ヤクルトスワローズ","東京","B","2","650万円（推定）","優れた打撃センスを誇る若手内野手。ルーキーイヤーの昨季は二軍で75試合に出場し、打率.254をマーク。シーズン終盤には一軍で猛打賞を記録するなど、大器の片りんを見せた。今季はさらなる成長を遂げ、出場機会を増やしたい。"
"西川　篤夢","広島東洋カープ","三重","A","1","","抜群の身体能力を誇る新人内野手。高校時代は主にショートを守り、高い守備力を発揮。2年秋からはチーム事情で投手も兼務し、140キロ台に達する速球を武器に活躍した。まずはプロのスピード感に慣れ、実戦デビューに備えたい。"
"中川　拓真","東京ヤクルトスワローズ","愛知","B","6","400万円（推定）","力強いスイングが魅力の若手キャッチャー。昨季は二軍で55試合に出場するも、打率は1割台と低迷。一軍へ昇格することができず、オフに育成契約を結んだ。今季は持ち前のバッティングで結果を残し、支配下登録への返り咲きを狙う。"
"北村　恵吾","東京ヤクルトスワローズ","岐阜","O","4","1,300万円（推定）","昨季は8月に2シーズンぶりの一軍昇格を果たすと、キャリアハイの46試合に出場。5本塁打を記録するなど自慢の長打力を発揮し、シーズン終盤にはスタメン出場の機会を増やした。今季は春先から結果を残し、レギュラー奪取を狙う。"
"小澤　怜史","東京ヤクルトスワローズ","静岡","A","11","4,100万円（推定）","力のあるストレートで空振りを奪うサイドハンド。開幕からリリーフに専念した昨季は25試合に登板。好不調の波が激しく、防御率5点台に終わる悔しいシーズンとなった。今季は変化球の精度を高め、より多くの出番を勝ち取りたい。"
"古賀　優大","東京ヤクルトスワローズ","福岡","B","10","3,000万円（推定）","鋭く正確な送球が武器の捕手。昨季は75試合でスタメンマスクをかぶり、12球団トップの盗塁阻止率.500を記録。バットでも存在感を示し、充実のシーズンを過ごした。選手会長となって迎える今季も、扇の要としてナインを引っ張る。"
