名前,経歴,ドラフト,状態
谷端　将伍,星稜高 - 日本大,2025年ドラフト2位,成功
山﨑　照英,九州文化学園高 - 関西・兵庫,2025年育成選手ドラフト2位,成功
能登　嵩都,旭川大高 - 桐蔭横浜大,2025年ドラフト5位,成功
早瀬　朔,神村学園高,2025年ドラフト4位,成功
神宮　僚介,桐生第一高 - 東京農業大北海道オホーツク,2025年育成選手ドラフト1位,成功
立石　正広,高川学園高 - 創価大,2025年ドラフト1位,成功
岡城　快生,岡山一宮高 - 筑波大,2025年ドラフト3位,成功
林　燦,広陵高 - 立正大,2025年育成選手ドラフト2位,成功
田和　廉,早稲田実 - 早稲田大,2025年ドラフト2位,成功
藤井　健翔,浦和学院高,2025年ドラフト6位,成功
河野　優作,創志学園高 - 愛知学院大,2025年育成選手ドラフト4位,成功
松井　蓮太朗,豊橋中央高,2025年育成選手ドラフト3位,成功
皆川　岳飛,前橋育英高 - 中央大,2025年ドラフト4位,成功
山城　京平,興南高 - 亜細亜大,2025年ドラフト3位,成功
冨重　英二郎,東海大相模高 - 国際武道大 - バイタルネット - BC・神奈川,2025年育成選手ドラフト1位,成功
小濱　佑斗,中部商 - 沖縄電力,2025年ドラフト5位,成功
竹丸　和幸,崇徳高 - 城西大 - 鷺宮製作所,2025年ドラフト1位,成功
知念　大成,沖縄尚学高 - 沖縄電力,2025年育成選手ドラフト5位,成功
島田　舜也,木更津総合高 - 東洋大,2025年ドラフト2位,成功
小田　康一郎,中京高 - 青山学院大,2025年ドラフト1位,成功
清水　詩太,京都国際高,2025年育成選手ドラフト1位,成功
宮下　朝陽,北海高 - 東洋大,2025年ドラフト3位,成功
片山　皓心,日立一高 - 桐蔭横浜大 - ホンダ,2025年ドラフト4位,成功
成瀬　脩人,東海大菅生高 - 東海大 - NTT西日本,2025年ドラフト5位,成功
西川　篤夢,神村学園高伊賀,2025年ドラフト6位,成功
赤木　晴哉,天理高 - 佛教大,2025年ドラフト5位,成功
岸本　大希,長崎商 - 桐蔭横浜大 - 四国・徳島,2025年育成選手ドラフト2位,成功
齊藤　汰直,武庫荘総合高 - 亜細亜大,2025年ドラフト2位,成功
平川　蓮,札幌国際情報高 - 仙台大,2025年ドラフト1位,成功
髙木　快大,栄徳高 - 中京大,2025年ドラフト7位,成功
勝田　成,関大北陽高 - 近畿大,2025年ドラフト3位,成功
小林　結太,関西高 - 城西大,2025年育成選手ドラフト1位,成功
工藤　泰己,北海高 - 北海学園大,2025年ドラフト4位,成功
飯田　琉斗,向上高 - 横浜商科大 - ENEOS,2025年ドラフト7位,成功
増居　翔太,彦根東高 - 慶応大 - トヨタ自動車,2025年ドラフト4位,成功
小宮　悠瞳,川崎総合科学高,2025年育成選手ドラフト1位,成功
山崎　太陽,帝京五高 - 創価大,2025年ドラフト3位,成功
石井　巧,作新学院高 - 中央大 - NTT東日本,2025年ドラフト6位,成功
松川　玲央,関西高 - 城西大,2025年ドラフト2位,成功
鈴木　蓮吾,東海大甲府高,2025年ドラフト5位,成功
松下　歩叶,桐蔭学園高 - 法政大,2025年ドラフト1位,成功
三上　愛介,済美高 - 四国・愛媛,2025年育成選手ドラフト3位,成功
櫻井　頼之介,聖カタリナ学園高 - 東北福祉大,2025年ドラフト2位,成功
牧野　憲伸,白樺学園高 - 富士大 - BC・信濃,2025年育成選手ドラフト1位,成功
能戸　輝夢,明秀学園日立高,2025年ドラフト4位,成功
中西　聖輝,智弁和歌山高 - 青山学院大,2025年ドラフト1位,成功
花田　旭,大阪桐蔭高 - 東洋大,2025年ドラフト6位,成功
石川　大峨,掛川西高,2025年育成選手ドラフト2位,成功
篠﨑　国忠,修徳高 - 四国・徳島,2025年ドラフト3位,成功
新保　茉良,瀬戸内高 - 東北福祉大,2025年ドラフト5位,成功
窪田　洋祐,札幌日大高,2025年ドラフト4位,成功
野上　士耀,明秀学園日立高,2025年ドラフト7位,成功
中西　創大,日星高,2025年育成選手ドラフト3位,成功
渡邉　一生,日本航空高 - 仙台大,2025年育成選手ドラフト4位,成功
藤川　敦也,延岡学園高,2025年ドラフト1位,成功
佐藤　龍月,高崎健康福祉大高崎高,2025年ドラフト3位,成功
髙谷　舟,札幌日大高 - 北海学園大,2025年ドラフト5位,成功
マシュー（シャピロ　マシュー一郎）,国学院栃木高 - 国学院大 - 日本海・富山,2025年育成選手ドラフト2位,成功
三方　陽登,創志学園高 - 駒沢大 - BC・栃木,2025年育成選手ドラフト1位,成功
森　陽樹,大阪桐蔭高,2025年ドラフト2位,成功
杉山　諒,愛知産大三河高 - 愛知学院大,2025年育成選手ドラフト3位,成功
岡村　了樹,富島高,2025年ドラフト6位,成功
